เรียกเก็บเงินถึง,"ReadyPlanet Co., Ltd."
หมายเลขใบแจ้งหนี้,3865399990
วันที่ในใบแจ้งหนี้,28 ก.พ. 2564
วันครบกำหนด,14 เม.ย. 2564
รหัสการเรียกเก็บเงิน,5350-7423-8195
สกุลเงิน,THB
จำนวนเงินในใบแจ้งหนี้,"21,188,543.15"

ผลิตภัณฑ์,Google Ads

รหัสบัญชี,บัญชี,งบประมาณบัญชี,ใบสั่งซื้อ,คำอธิบาย,ปริมาณ,หน่วย,จำนวน
950-290-4759,"105printing.com,Google Ads Value,คุณต้อม","ReadyPlanet Co., Ltd.",,Search_หนังสือ-ใบปลิว-โบรชัวร์,185,การคลิก,"4,688.50"
950-290-4759,"105printing.com,Google Ads Value,คุณต้อม","ReadyPlanet Co., Ltd.",,Search_อื่นๆ,51,การคลิก,"2,385.12"
405-662-8551,"11colours.com, 26 Nov 2015, 26 Aug 2020, 25 Aug 2021, Invoice, Package12","ReadyPlanet Co., Ltd.",,11colours.com,1976,การคลิก,"19,770.67"
405-662-8551,"11colours.com, 26 Nov 2015, 26 Aug 2020, 25 Aug 2021, Invoice, Package12","ReadyPlanet Co., Ltd.",,R-Dynamic Campaign (e6ba7e6676140b7e6430be27c4579d68),90,การคลิก,140.01
726-538-3755,"1994RS.com,package","ReadyPlanet Co., Ltd.",,Search_ออกแบบ สร้าง ติดตั้งครัว,521,การคลิก,"9,042.57"
726-538-3755,"1994RS.com,package","ReadyPlanet Co., Ltd.",,Search_ขายส่งเครื่องครัว,457,การคลิก,"5,034.48"
726-538-3755,"1994RS.com,package","ReadyPlanet Co., Ltd.",,Display,5661,การคลิก,"3,039.99"
726-538-3755,"1994RS.com,package","ReadyPlanet Co., Ltd.",,R-Dynamic Campaign (9549a3f16b511be5b7af9b22db1cd449),358,การคลิก,"1,292.51"
726-538-3755,"1994RS.com,package","ReadyPlanet Co., Ltd.",,กิจกรรมที่ไม่ถูกต้อง,,,-16.10
200-815-2952,1Premium-pv.com,"ReadyPlanet Co., Ltd. - Nov 16, 2020",,Premium-pv.com,176,การคลิก,"5,199.06"
255-927-4107,1Simple-9.com,"ReadyPlanet Co., Ltd. - Nov 11, 2020",,simple-9,439,การคลิก,"5,218.94"
621-964-7643,1kaoporpeang.com,"ReadyPlanet Co., Ltd. - Sep 1, 2020",,Search - Powerbank 800,2779,การคลิก,"30,400.00"
621-964-7643,1kaoporpeang.com,"ReadyPlanet Co., Ltd. - Sep 1, 2020",,Search - กระบอกน้ำ 400,1480,การคลิก,"15,384.29"
621-964-7643,1kaoporpeang.com,"ReadyPlanet Co., Ltd. - Sep 1, 2020",,R-Dynamic Campaign (f66643676fac2239d9c9539a9dcfb2a7),839,การคลิก,"2,979.95"
621-964-7643,1kaoporpeang.com,"ReadyPlanet Co., Ltd. - Sep 1, 2020",,เครดิตจากการแสดงผลเกินงบ,,,-24.48
774-378-3997,1pd-premium.com,"ReadyPlanet Co., Ltd. - 10 Mar 2020",,"Search - pd-premium.com (จ พฤ ศ/1,700) (อ ,พ/2,600)",2555,การคลิก,"49,742.31"
774-378-3997,1pd-premium.com,"ReadyPlanet Co., Ltd. - 10 Mar 2020",,"Search - pd-premium.com (ส ,อา)/1,000THB",371,การคลิก,"4,848.64"
774-378-3997,1pd-premium.com,"ReadyPlanet Co., Ltd. - 10 Mar 2020",,R-Dynamic Campaign (377968ed04b5c7c891278f1fdf770b1e),306,การคลิก,"1,661.90"
824-645-1804,"24Catalog.com , Enterprise","ReadyPlanet Co., Ltd. - Jan 27, 2021",,DSA : (all web) + RLSA,6168,การคลิก,"11,423.81"
824-645-1804,"24Catalog.com , Enterprise","ReadyPlanet Co., Ltd. - Jan 27, 2021",,Smart Shopping-All Product,8916,การคลิก,"9,045.05"
824-645-1804,"24Catalog.com , Enterprise","ReadyPlanet Co., Ltd. - Jan 27, 2021",,24 Catalog.,2699,การคลิก,895.66
824-645-1804,"24Catalog.com , Enterprise","ReadyPlanet Co., Ltd. - Jan 27, 2021",,กิจกรรมที่ไม่ถูกต้อง,,,-21.15
656-122-0543,"366.co.th, AdPro Value , Start 2019-05-15, 15000฿ 18%","ReadyPlanet Co., Ltd. - May 14, 2019",,ระบบบำบัดกลิ่น,227,การคลิก,"4,699.45"
656-122-0543,"366.co.th, AdPro Value , Start 2019-05-15, 15000฿ 18%","ReadyPlanet Co., Ltd. - May 14, 2019",,Wastewater Treatment,239,การคลิก,"3,482.10"
656-122-0543,"366.co.th, AdPro Value , Start 2019-05-15, 15000฿ 18%","ReadyPlanet Co., Ltd. - May 14, 2019",,ระบบบำบัดน้ำเสีย,128,การคลิก,"2,846.76"
656-122-0543,"366.co.th, AdPro Value , Start 2019-05-15, 15000฿ 18%","ReadyPlanet Co., Ltd. - May 14, 2019",,Odor Elimination System,66,การคลิก,"1,121.32"
338-340-6768,"3dsoftthai.com,Adpro Value","ReadyPlanet Co., Ltd. - Sep 9, 2019",,Search-ทั่วประเทศ,576,การคลิก,"7,516.81"
726-489-9239,59shingleroof.com,"ReadyPlanet Co., Ltd. - Jan 16, 2020",,Search-Roof,456,การคลิก,"13,933.77"
726-489-9239,59shingleroof.com,"ReadyPlanet Co., Ltd. - Jan 16, 2020",,R-Dynamic Campaign (8d57f9ab19a6accc50dfbb8a5ac0a0be),108,การคลิก,651.26
726-489-9239,59shingleroof.com,"ReadyPlanet Co., Ltd. - Jan 16, 2020",,เครดิตจากการแสดงผลเกินงบ,,,-39.40
532-344-8935,"5แสงทองลอกท่อ.com, AdPro Value,k.ธีรภัทร์","ReadyPlanet Co., Ltd. - Sep 16, 2019",,Search-Text,506,การคลิก,"9,091.97"
946-565-3982,"7rangestudio.com, G-pro","ReadyPlanet Co., Ltd. - 24 ก.ค. 2020",,Search_4 Studio,1072,การคลิก,"17,948.41"
946-565-3982,"7rangestudio.com, G-pro","ReadyPlanet Co., Ltd. - 24 ก.ค. 2020",,Display,18031,การคลิก,"6,078.70"
946-565-3982,"7rangestudio.com, G-pro","ReadyPlanet Co., Ltd. - 24 ก.ค. 2020",,เครดิตจากการแสดงผลเกินงบ,,,-1.40
946-565-3982,"7rangestudio.com, G-pro","ReadyPlanet Co., Ltd. - 24 ก.ค. 2020",,กิจกรรมที่ไม่ถูกต้อง,,,-4.61
824-457-7483,84carcenter.com,"ReadyPlanet Co., Ltd.",,2.ขายรถมือสอง_LPรับซื้อรถ,3086,การคลิก,"30,399.74"
824-457-7483,84carcenter.com,"ReadyPlanet Co., Ltd.",,1.รับซื้อรถมือสอง,470,การคลิก,"27,758.22"
357-757-4276,"888-shopping.com,Google Ads Value","ReadyPlanet Co., Ltd. - Apr 28, 2017",,Search_08.00-24.00 เปิดร้าน,1786,การคลิก,"6,321.38"
357-757-4276,"888-shopping.com,Google Ads Value","ReadyPlanet Co., Ltd. - Apr 28, 2017",,Search_08.00-24.00,1299,การคลิก,"2,914.09"
357-757-4276,"888-shopping.com,Google Ads Value","ReadyPlanet Co., Ltd. - Apr 28, 2017",,Video - เปิดร้านวันนี้ไม่มีค่าแฟรนไซส์,15071,การคลิก,"1,640.10"
357-757-4276,"888-shopping.com,Google Ads Value","ReadyPlanet Co., Ltd. - Apr 28, 2017",,RMT,1946,การคลิก,"1,027.81"
357-757-4276,"888-shopping.com,Google Ads Value","ReadyPlanet Co., Ltd. - Apr 28, 2017",,R-Dynamic Campaign (4ea0b764611bf4536633f5e5bbcdcab5),495,การคลิก,566.29
357-757-4276,"888-shopping.com,Google Ads Value","ReadyPlanet Co., Ltd. - Apr 28, 2017",,กิจกรรมที่ไม่ถูกต้อง,,,-54.84
357-757-4276,"888-shopping.com,Google Ads Value","ReadyPlanet Co., Ltd. - Apr 28, 2017",,เครดิตจากการแสดงผลเกินงบ,,,-63.61
666-295-2657,"91filmandprint.com,  G Ads Value","ReadyPlanet Co., Ltd.",,พิมพ์หนังสือรุ่น,1187,การคลิก,"6,080.00"
666-295-2657,"91filmandprint.com,  G Ads Value","ReadyPlanet Co., Ltd.",,นามบัตร,941,การคลิก,"6,079.99"
666-295-2657,"91filmandprint.com,  G Ads Value","ReadyPlanet Co., Ltd.",,รับพิมพ์การ์ด,721,การคลิก,"3,021.17"
123-005-3934,"9cabling.com, 17 Feb 2012, 2 Mar 2020, 1 Apr 2020, GG Value 10000 25% = 3000","ReadyPlanet Co., Ltd.",gp699208,Campaign_Search,674,การคลิก,"6,570.66"
123-005-3934,"9cabling.com, 17 Feb 2012, 2 Mar 2020, 1 Apr 2020, GG Value 10000 25% = 3000","ReadyPlanet Co., Ltd.",gp699208,Campaign_Search 9cabling แทน,233,การคลิก,"2,318.14"
737-157-7058,AboutToothClinic,"ReadyPlanet Co., Ltd. - 18 ส.ค. 2020",,Invisalign,759,การคลิก,"9,012.90"
737-157-7058,AboutToothClinic,"ReadyPlanet Co., Ltd. - 18 ส.ค. 2020",,ฟอกสีฟัน Zoom,405,การคลิก,"6,069.69"
737-157-7058,AboutToothClinic,"ReadyPlanet Co., Ltd. - 18 ส.ค. 2020",,รีเทนเนอร์,1077,การคลิก,"6,036.25"
737-157-7058,AboutToothClinic,"ReadyPlanet Co., Ltd. - 18 ส.ค. 2020",,รากเทียม,1057,การคลิก,"6,030.32"
737-157-7058,AboutToothClinic,"ReadyPlanet Co., Ltd. - 18 ส.ค. 2020",,Veneer,134,การคลิก,"3,657.78"
864-702-9523,"Abss.co.th ,Google Ads Value",864-702-9523,,New_เครื่องอ่านบาร์โค้ด,100,การคลิก,"3,003.06"
864-702-9523,"Abss.co.th ,Google Ads Value",864-702-9523,,H22018_ระบบบาร์โค้ด,138,การคลิก,"1,999.98"
864-702-9523,"Abss.co.th ,Google Ads Value",864-702-9523,,H22018_Scanner,72,การคลิก,"1,999.81"
864-702-9523,"Abss.co.th ,Google Ads Value",864-702-9523,,H22018_Warehouse management,35,การคลิก,"1,999.78"
864-702-9523,"Abss.co.th ,Google Ads Value",864-702-9523,,H22018_เครื่องพิมพ์บาร์โค้ด,40,การคลิก,"1,984.15"
864-702-9523,"Abss.co.th ,Google Ads Value",864-702-9523,,Display,1853,การคลิก,"1,372.55"
864-702-9523,"Abss.co.th ,Google Ads Value",864-702-9523,,Search-Smart Solutions,148,การคลิก,"1,306.42"
864-702-9523,"Abss.co.th ,Google Ads Value",864-702-9523,,กิจกรรมที่ไม่ถูกต้อง,,,-301.52
490-033-5416,AcrylicModernplus.com,490-033-5416,,Search - Acrylic 300THB/กทม,34,การคลิก,598.09
490-033-5416,AcrylicModernplus.com,490-033-5416,,Search - Acrylic 300THB/กทม (Max-clicks),25,การคลิก,310.16
600-404-3561,"Acrylicandpremium.com, Pack 12 months,End 5 -Aug-2020, package","ReadyPlanet Co., Ltd. Ratchadapisek...",,Searchtext_งานอะคริลิค,842,การคลิก,"9,515.27"
600-404-3561,"Acrylicandpremium.com, Pack 12 months,End 5 -Aug-2020, package","ReadyPlanet Co., Ltd. Ratchadapisek...",,R-Dynamic Campaign (2f511c9af2f53f3ab3e96dca2c65a113),116,การคลิก,765.75
370-147-2382,"Advancebodypart.com, 23-Apr-2020 , 01 Mar 2021, 31 May 2021",370-147-2382,,Search รถสไลด์,228,การคลิก,"5,110.47"
370-147-2382,"Advancebodypart.com, 23-Apr-2020 , 01 Mar 2021, 31 May 2021",370-147-2382,,Search ซ่อม แอร์แบ็ค,195,การคลิก,"3,130.31"
370-147-2382,"Advancebodypart.com, 23-Apr-2020 , 01 Mar 2021, 31 May 2021",370-147-2382,,กิจกรรมที่ไม่ถูกต้อง,,,-823.23
666-854-5834,Advancecte.com,666-854-5834,,Search - Computers and Tablets,169,การคลิก,"3,545.88"
490-284-3960,"Advancegroupasia.com, Package  ,ทุกวันที่ 25","ReadyPlanet Co., Ltd. - Nov 1, 2017",,Search_กำจัดปลวก,1629,การคลิก,"54,672.46"
490-284-3960,"Advancegroupasia.com, Package  ,ทุกวันที่ 25","ReadyPlanet Co., Ltd. - Nov 1, 2017",,Search_แม่บ้าน,384,การคลิก,"7,097.58"
490-284-3960,"Advancegroupasia.com, Package  ,ทุกวันที่ 25","ReadyPlanet Co., Ltd. - Nov 1, 2017",,Search_Big Cleaning,198,การคลิก,"5,116.84"
