"Report ID","Parent Customer ID","Customer ID","Customer Name","Offset Acct","Offset Acct Name","Adjust ยอดยกมา","หมายเหตุ","JE + Free Clickcost","หมายเหตุ","Free Clickcost (ค่าใช้จ่ายต้องห้าม)","หมายเหตุ","Adjustment","หมายเหตุ","Max","หมายเหตุ","Adjustment frontend","หมายเหตุ"
4275,1100111,1100115,"บริษัท เวลท์ ครีเอชั่น แอนด์ เทรดดิ้ง จำกัด",1100115,"บริษัท เวลท์ ครีเอชั่น แอนด์ เทรดดิ้ง จำกัด",0,,0,,0,,1020,,0,,0,
4276,1100112,1100116,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",1100116,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",0,,0,,0,,0,,7580,,0,
4277,1100113,1100117,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",1100117,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",0,,0,,0,,0,,7580,,0,
4278,1100114,1100118,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",1100118,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",0,,0,,0,,0,,7580,,0,
4279,1100115,1100119,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",1100119,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",0,,0,,0,,0,,7580,,0,
4280,1100116,1100120,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",1100120,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",0,,0,,0,,0,,7580,,0,
4281,1100117,1100121,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",1100121,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",0,,0,,0,,0,,7580,,0,
4282,1100118,1100122,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",1100122,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",0,,0,,0,,0,,7580,,0,
4283,1100119,1100123,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",1100123,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",0,,0,,0,,0,,7580,,0,
4284,1100120,1100124,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",1100124,"บริษัท เส-นอร์สห โลจิสติกส์ จำกัด",0,,0,,0,,0,,7580,,0,
