"รหัสบัญชี","บัญชี","งบประมาณบัญชี","ใบสั่งซื้อ","คำอธิบาย","ปริมาณ","หน่วย","จำนวน"
"111-290-3333","a.com,Google Ads Value,คุณเอ","ReadyPlanet Co., Ltd.",,"Search_หนังสือ-ใบปลิว-โบรชัวร์",150,"การคลิก","5,063.33"
"111-290-3333","a.com,Google Ads Value,คุณเอ","ReadyPlanet Co., Ltd.",,"R-Dynamic Campaign (210c1b1f8062944efbe029f55bda7f97)",207,"การคลิก","2,825.12"
"111-290-3333","a.com,Google Ads Value,คุณเอ","ReadyPlanet Co., Ltd.",,"Search_อื่นๆ",31,"การคลิก","2,464.36"
"405-662-8551","b.com, 26 Nov 2015, 26 Aug 2020, 25 Aug 2021, Invoice, Package12","ReadyPlanet Co., Ltd.",,"11colours.com",2048,"การคลิก","19,544.25"
"405-662-8551","b.com, 26 Nov 2015, 26 Aug 2020, 25 Aug 2021, Invoice, Package12","ReadyPlanet Co., Ltd.",,"R-Dynamic Campaign (e6ba7e6676140b7e6430be27c4579d68)",100,"การคลิก",138.93
"726-538-3755","c.com,package","ReadyPlanet Co., Ltd.",,"Search_ออกแบบ สร้าง ติดตั้งครัว",552,"การคลิก","9,119.64"
"726-538-3755","c.com,package","ReadyPlanet Co., Ltd.",,"Search_ขายส่งเครื่องครัว",500,"การคลิก","5,268.43"
"726-538-3755","c.com,package","ReadyPlanet Co., Ltd.",,"Display",6337,"การคลิก","3,039.92"
"726-538-3755","c.com,package","ReadyPlanet Co., Ltd.",,"R-Dynamic Campaign (9549a3f16b511be5b7af9b22db1cd449)",43,"การคลิก",479.43
"726-538-3755","c.com,package","ReadyPlanet Co., Ltd.",,"เครดิตจากการแสดงผลเกินงบ",,,-0.3
