Facebook Ireland Limited,Invoice Report
Business Name,ReadyPlanet BM1,Report Start Date,31 Jan 2021
Business ID,_10152359449443603_,Report End Date,05 Feb 2021
Taxed Amount in period,฿0.00
Total Invoiced Amount in period,"฿11,844,645.82"
Total Due Amount in period,"฿11,844,645.82"


Vendor,Invoice Number,Transaction Type,Advertiser,Billing Period,Payment Terms,Invoice Net Amount,Invoice Tax Amount,Invoice Total Amount,Liable Party,Currency,Issue Date,Due Date,Payment Status,Amount Due,Customer PO Number,Ad Account Id,Ad Account Name,Campaign Id,Campaign Name,Campaign Objective,Campaign Clicks,Campaign Impressions,Campaign Labels,Campaign Amount,Campaign Tax Amount,Campaign Total Amount,Campaign Creator,Campaign Last Modified By
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_561009024102955_,,_23846893903860781_,,,,252,,฿20.77,฿0.00,฿20.77,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_560935520776972_,,_23846892034410190_,,,,1373,,฿132.80,฿0.00,฿132.80,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_551567665047091_,,_23846576459090073_,,,,5420,,"฿1,027.13",฿0.00,"฿1,027.13",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_560935520776972_,,_23846699986380190_,,,,883,,฿64.28,฿0.00,฿64.28,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_560935520776972_,,_23846992068970190_,,,,3340,,฿444.92,฿0.00,฿444.92,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_551567665047091_,,_23846475250010073_,,,,3364,,฿652.41,฿0.00,฿652.41,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_551567665047091_,,_23846640207510073_,,,,39,,฿13.65,฿0.00,฿13.65,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_561009024102955_,,_23846893903860781_,,,,93490,,"฿9,750.54",฿0.00,"฿9,750.54",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_561009024102955_,,_23846894243950781_,,,,286903,,"฿4,894.29",฿0.00,"฿4,894.29",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_561009024102955_,,_561009024102955_,,,,,,-฿2.00,฿0.00,-฿2.00,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_561009024102955_,,_23846894255430781_,,,,127966,,"฿1,478.62",฿0.00,"฿1,478.62",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_560935520776972_,,_23846992068970190_,,,,61533,,"฿8,628.00",฿0.00,"฿8,628.00",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_561009024102955_,,_23846894255430781_,,,,13586,,฿152.45,฿0.00,฿152.45,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_504955296374995_,,_23846467840370094_,,,,2896,,฿418.87,฿0.00,฿418.87,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_582727895264401_,,_23845431379020078_,,,,537668,,"฿13,897.71",฿0.00,"฿13,897.71",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_551567665047091_,,_23846640207510073_,,,,532,,฿185.41,฿0.00,฿185.41,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_560935520776972_,,_23846892034410190_,,,,30593,,"฿3,686.10",฿0.00,"฿3,686.10",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_560935520776972_,,_23846699986380190_,,,,13589,,"฿1,272.90",฿0.00,"฿1,272.90",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_540446379492553_,,_23844645856610112_,,,,193584,,"฿1,835.04",฿0.00,"฿1,835.04",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_551567665047091_,,_23846576459090073_,,,,263693,,"฿44,736.96",฿0.00,"฿44,736.96",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_540446379492553_,,_23845091405250112_,,,,3621,,฿53.34,฿0.00,฿53.34,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_540446379492553_,,_23844645856610112_,,,,110044,,"฿1,057.65",฿0.00,"฿1,057.65",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_540446379492553_,,_23845885754640112_,,,,105928,,"฿17,332.67",฿0.00,"฿17,332.67",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_510209285849596_,,_23844996620350120_,,,,108,,฿21.87,฿0.00,฿21.87,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_551567665047091_,,_23846475250010073_,,,,150466,,"฿22,516.61",฿0.00,"฿22,516.61",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_551567665047091_,,_23846599999430073_,,,,92918,,"฿18,970.87",฿0.00,"฿18,970.87",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_540446379492553_,,_23845091405250112_,,,,158480,,"฿5,729.23",฿0.00,"฿5,729.23",,
Facebook Ireland Limited,226815007,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿523,122.98",฿0.00,"฿523,122.98","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿523,122.98",,_10153394545548603_,fb8-มุ้งลวดม้วนเก็บ KK-Net ขอนแก่น,_6202038218135_,KK-net_มุ้งม้วนเ สาขาตะวันออก_Messages (300),MESSAGES,,334,,฿16.39,฿0.00,฿16.39,Chayada Rungratsamee,Chayada Rungratsamee
Facebook Ireland Limited,226815007,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿523,122.98",฿0.00,"฿523,122.98","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿523,122.98",,_10153185401688603_,"FB8-Bodhitreedecor, AdPro Value",_6220403224063_,Re-targeting_CTW,LINK_CLICKS,,22,,฿0.40,฿0.00,฿0.40,Chayada Rungratsamee,Chayada Rungratsamee
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_528612004009324_,,_23842999398290480_,,,,515989,,"฿6,197.71",฿0.00,"฿6,197.71",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_543543415849516_,,_23844568534500160_,,,,207136,,"฿1,623.00",฿0.00,"฿1,623.00",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_543543415849516_,,_23844568192340160_,,,,59265,,"฿11,288.05",฿0.00,"฿11,288.05",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_457495477787644_,,,,,,-฿3.77,฿0.00,-฿3.77,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_504955296374995_,,_23846296808260094_,,,,16166,,"฿3,548.08",฿0.00,"฿3,548.08",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_534610560076135_,,_23843715372860781_,,,,194576,,"฿6,199.00",฿0.00,"฿6,199.00",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_534610560076135_,,_23843062387450781_,,,,489381,,"฿18,577.19",฿0.00,"฿18,577.19",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_504955296374995_,,_23846467840370094_,,,,93201,,"฿26,991.66",฿0.00,"฿26,991.66",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_534610560076135_,,_23842580671740781_,,,,57004,,"฿6,206.05",฿0.00,"฿6,206.05",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_528612004009324_,,_23846519656810480_,,,,49233,,"฿9,307.08",฿0.00,"฿9,307.08",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6217326689199_,,,,17168,,฿525.75,฿0.00,฿525.75,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_510209285849596_,,_23844996620350120_,,,,22619,,"฿9,285.75",฿0.00,"฿9,285.75",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6204697537799_,,,,52724,,"฿2,043.90",฿0.00,"฿2,043.90",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_528612004009324_,,_23846215258490480_,,,,56255,,"฿9,305.84",฿0.00,"฿9,305.84",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6204845939199_,,,,20857,,฿679.51,฿0.00,฿679.51,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6206466440599_,,,,37890,,"฿1,245.36",฿0.00,"฿1,245.36",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6205112895999_,,,,37296,,"฿2,032.50",฿0.00,"฿2,032.50",,
