Source,Customer ID,Custumer,Payment Method,Note
Mew,105551077399,บริษัท เรดดี้แพลนเน็ต แมกซ์ จำกัด,Postpaid-corporate,
Mew,1100255,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด(มหาชน),Postpaid-corporate,
Mew,1103412,บริษัท ไซท์ เพรพพาเรชั่น แมเนจเมนท์ จำกัด,Postpaid-corporate,
Mew,113118672,บริษัท ยูนีเวอร์สบิวตี้ จำกัด,Postpaid-corporate,
Mew,113120520,บริษัทพฤกษา เรียลเอสเตท จำกัด(มหาชน) สำนักงานใหญ่,Postpaid-corporate,
Mew,113125383,บริษัท วงษ์ อินเวนชั่น จำกัด,Postpaid-corporate,
Mew,113126488,บริษัท บุญรอดเทรดดิ้ง จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1216902341,บริษัท ทเวนตี้โฟร์ ช้อปปิ้ง จำกัด,Postpaid-corporate,
Mew,1216921812,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จํากัด(มหาชน),Postpaid-corporate,
Mew,1216934820,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),Postpaid-corporate,
Mew,1216935219,บริษัทอินฟินิท เรียลเอสเตท จำกัด,Postpaid-corporate,
Mew,1216935753,บริษัท พร็อพเพอร์ตี้ เพอร์เฟค จำกัด (มหาชน),Postpaid-corporate,
Mew,1216943360,บริษัท จระเข้ คอร์ปอเรชั่น จำกัด,Postpaid-corporate,
Mew,1216948154,บริษัท อนันดา ดีเวลลอปเม้นท์ วัน จำกัด,Postpaid-corporate,
Mew,1216952109,บริษัท ซีส์ เทรด จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1216952856,บริษัท เอเซียบุ๊คส จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1216953044,ตลาดหลักทรัพย์แห่งประเทศไทย (สำนักงานใหญ่),Prepaid-normal,Postpaid-corporate มีเงินที่เหลือยังใช้ไม่หมด
Mew,1216958184,บริษัท เอไอเอ จำกัด สำนักงานใหญ่,Postpaid-corporate,
Mew,1216964362,บจก.เฮเฟเล่ (ประเทศไทย) สำนักงานใหญ่,Postpaid-corporate,
Mew,1216967250,บริษัท อินเตอร์มาร์ค บิสซิเนส จำกัด,Postpaid-corporate,
Mew,1216975191,บริษัท วิริยะประกันภัย จำกัด(มหาชน) สำนักงานใหญ่,Postpaid-corporate,
Mew,1216979883,บริษัท แบรนด์เด็ด ดิ เอเจนซี่ จำกัด,Postpaid-corporate,
Mew,1216991748,บริษัท ซี.พี.แลนด์ จำกัด(มหาชน),Postpaid-corporate,
Mew,1216994824,บริษัท ดีพลัส อินเตอร์เทรด จำกัด,Postpaid-corporate,
Mew,1217011439,บริษัท เดอะ คอนฟิเด้นซ์ จำกัด,Postpaid-corporate,
Mew,1217077707,ลุมพินีคอนโดทาวน์ บางแค,Postpaid-corporate,
